cost_type,year,value,scenario,variant,unit
Summe,2028,0.767,ZERO-B,KKW50,Mrd. CHF
Summe,2029,0.816,ZERO-B,KKW50,Mrd. CHF
Summe,2030,1.008,ZERO-B,KKW50,Mrd. CHF
Summe,2031,1.284,ZERO-B,KKW50,Mrd. CHF
Summe,2032,1.639,ZERO-B,KKW50,Mrd. CHF
Summe,2033,2.047,ZERO-B,KKW50,Mrd. CHF
Summe,2034,2.359,ZERO-B,KKW50,Mrd. CHF
Summe,2035,2.736,ZERO-B,KKW50,Mrd. CHF
Summe,2036,3.148,ZERO-B,KKW50,Mrd. CHF
Summe,2037,3.588,ZERO-B,KKW50,Mrd. CHF
Summe,2038,3.881,ZERO-B,KKW50,Mrd. CHF
Summe,2039,4.142,ZERO-B,KKW50,Mrd. CHF
Summe,2040,4.306,ZERO-B,KKW50,Mrd. CHF
Summe,2041,4.824,ZERO-B,KKW50,Mrd. CHF
Summe,2042,5.384,ZERO-B,KKW50,Mrd. CHF
Summe,2043,5.799,ZERO-B,KKW50,Mrd. CHF
Summe,2044,6.376,ZERO-B,KKW50,Mrd. CHF
Summe,2045,7.429,ZERO-B,KKW50,Mrd. CHF
Summe,2046,8.288,ZERO-B,KKW50,Mrd. CHF
Summe,2047,9.319,ZERO-B,KKW50,Mrd. CHF
Summe,2048,10.27,ZERO-B,KKW50,Mrd. CHF
Summe,2049,11.486,ZERO-B,KKW50,Mrd. CHF
Summe,2050,12.61,ZERO-B,KKW50,Mrd. CHF
Summe,2051,12.367,ZERO-B,KKW50,Mrd. CHF
Summe,2052,11.888,ZERO-B,KKW50,Mrd. CHF
Summe,2053,11.597,ZERO-B,KKW50,Mrd. CHF
Summe,2054,11.259,ZERO-B,KKW50,Mrd. CHF
Summe,2055,10.92,ZERO-B,KKW50,Mrd. CHF
Summe,2056,10.538,ZERO-B,KKW50,Mrd. CHF
Summe,2057,10.38,ZERO-B,KKW50,Mrd. CHF
Summe,2058,9.735,ZERO-B,KKW50,Mrd. CHF
Summe,2059,9.453,ZERO-B,KKW50,Mrd. CHF
Summe,2060,9.158,ZERO-B,KKW50,Mrd. CHF
Summe,kumuliert 2020-50,115.168,ZERO-B,KKW50,Mrd. CHF
Summe,kumuliert 2020-60,222.465,ZERO-B,KKW50,Mrd. CHF
Investitionen (annuisiert),2020,0.026,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2021,0.166,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2022,0.301,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2023,0.462,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2024,0.65,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2025,0.865,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2026,1.095,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2027,1.333,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2028,1.592,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2029,1.852,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2030,2.141,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2031,2.445,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2032,2.781,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2033,3.184,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2034,3.555,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2035,3.924,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2036,4.324,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2037,4.676,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2038,5.017,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2039,5.37,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2040,5.631,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2041,5.926,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2042,6.279,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2043,6.423,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2044,6.705,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2045,6.911,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2046,7.026,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2047,7.206,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2048,7.392,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2049,7.78,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2050,8.142,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2051,8.09,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2052,8.018,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2053,7.925,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2054,7.833,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2055,7.717,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2056,7.56,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2057,7.435,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2058,7.309,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2059,7.23,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),2060,7.187,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),kumuliert 2020-50,121.181,ZERO-C,KKW50,Mrd. CHF
Investitionen (annuisiert),kumuliert 2020-60,197.484,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2020,0.008,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2021,0.01,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2022,0.017,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2023,0.026,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2024,0.035,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2025,0.043,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2026,0.06,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2027,0.076,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2028,0.098,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2029,0.117,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2030,0.155,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2031,0.18,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2032,0.236,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2033,0.3,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2034,0.368,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2035,0.443,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2036,0.515,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2037,0.588,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2038,0.662,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2039,0.732,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2040,0.826,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2041,0.863,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2042,0.918,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2043,0.939,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2044,0.965,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2045,0.966,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2046,0.974,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2047,0.982,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2048,0.99,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2049,0.986,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2050,1.01,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2051,0.994,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2052,0.972,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2053,0.941,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2054,0.904,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2055,0.861,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2056,0.801,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2057,0.744,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2058,0.686,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2059,0.643,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,2060,0.615,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,kumuliert 2020-50,15.088,ZERO-C,KKW50,Mrd. CHF
Betriebskosten/Unterhalt,kumuliert 2020-60,23.249,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2020,-0.098,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2021,-0.283,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2022,-0.205,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2023,-0.155,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2024,-0.298,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2025,-0.402,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2026,-0.507,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2027,-0.603,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2028,-0.704,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2029,-0.895,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2030,-1.002,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2031,-1.106,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2032,-1.21,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2033,-1.364,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2034,-1.493,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2035,-1.583,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2036,-1.712,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2037,-1.768,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2038,-1.887,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2039,-1.93,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2040,-2.004,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2041,-1.732,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2042,-1.523,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2043,-1.258,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2044,-1.039,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2045,-0.029,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2046,0.859,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2047,1.635,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2048,2.301,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2049,2.893,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2050,3.536,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2051,3.085,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2052,2.694,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2053,2.291,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2054,1.986,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2055,1.706,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2056,1.404,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2057,1.201,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2058,0.891,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2059,0.666,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,2060,0.369,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,kumuliert 2020-50,-15.565,ZERO-C,KKW50,Mrd. CHF
Energiekosten*,kumuliert 2020-60,0.758,ZERO-C,KKW50,Mrd. CHF
Summe,2020,-0.064,ZERO-C,KKW50,Mrd. CHF
Summe,2021,-0.106,ZERO-C,KKW50,Mrd. CHF
Summe,2022,0.113,ZERO-C,KKW50,Mrd. CHF
Summe,2023,0.333,ZERO-C,KKW50,Mrd. CHF
Summe,2024,0.387,ZERO-C,KKW50,Mrd. CHF
Summe,2025,0.505,ZERO-C,KKW50,Mrd. CHF
Summe,2026,0.648,ZERO-C,KKW50,Mrd. CHF
Summe,2027,0.807,ZERO-C,KKW50,Mrd. CHF
Summe,2028,0.987,ZERO-C,KKW50,Mrd. CHF
Summe,2029,1.074,ZERO-C,KKW50,Mrd. CHF
Summe,2030,1.294,ZERO-C,KKW50,Mrd. CHF
Summe,2031,1.52,ZERO-C,KKW50,Mrd. CHF
Summe,2032,1.807,ZERO-C,KKW50,Mrd. CHF
Summe,2033,2.12,ZERO-C,KKW50,Mrd. CHF
Summe,2034,2.43,ZERO-C,KKW50,Mrd. CHF
Summe,2035,2.784,ZERO-C,KKW50,Mrd. CHF
Summe,2036,3.127,ZERO-C,KKW50,Mrd. CHF
Summe,2037,3.496,ZERO-C,KKW50,Mrd. CHF
Summe,2038,3.793,ZERO-C,KKW50,Mrd. CHF
Summe,2039,4.172,ZERO-C,KKW50,Mrd. CHF
Summe,2040,4.453,ZERO-C,KKW50,Mrd. CHF
Summe,2041,5.057,ZERO-C,KKW50,Mrd. CHF
Summe,2042,5.675,ZERO-C,KKW50,Mrd. CHF
Summe,2043,6.105,ZERO-C,KKW50,Mrd. CHF
Summe,2044,6.631,ZERO-C,KKW50,Mrd. CHF
Summe,2045,7.849,ZERO-C,KKW50,Mrd. CHF
Summe,2046,8.86,ZERO-C,KKW50,Mrd. CHF
Summe,2047,9.823,ZERO-C,KKW50,Mrd. CHF
Summe,2048,10.683,ZERO-C,KKW50,Mrd. CHF
Summe,2049,11.659,ZERO-C,KKW50,Mrd. CHF
Summe,2050,12.687,ZERO-C,KKW50,Mrd. CHF
Summe,2051,12.17,ZERO-C,KKW50,Mrd. CHF
Summe,2052,11.684,ZERO-C,KKW50,Mrd. CHF
Summe,2053,11.157,ZERO-C,KKW50,Mrd. CHF
Summe,2054,10.723,ZERO-C,KKW50,Mrd. CHF
Summe,2055,10.283,ZERO-C,KKW50,Mrd. CHF
Summe,2056,9.765,ZERO-C,KKW50,Mrd. CHF
Summe,2057,9.38,ZERO-C,KKW50,Mrd. CHF
Summe,2058,8.886,ZERO-C,KKW50,Mrd. CHF
Summe,2059,8.538,ZERO-C,KKW50,Mrd. CHF
Summe,2060,8.171,ZERO-C,KKW50,Mrd. CHF
Summe,kumuliert 2020-50,120.704,ZERO-C,KKW50,Mrd. CHF
Summe,kumuliert 2020-60,221.4603,ZERO-C,KKW50,Mrd. CHF
